id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
27197,ZGNN,large_airport,Nanning Wuxu Airport,22.608299,108.171997,421,AS,China,CN,Guangxi Autonomous Region,CN-45,45,Nanning (Jiangnan),1,ZGNN,NNG,,,,,,,,,,,,,,,,,,,,,,,
342096,TAO,large_airport,Qingdao Jiaodong International Airport,36.361953,120.088171,30,AS,China,CN,Shandong Province,CN-37,37,"Jiaozhou, Qingdao",1,ZSQD,TAO,,,,,,,,,,,,,,,,,,,,,,,
332096,YNT,large_airport,Yantai Penglai International Airport,37.659724,120.978124,154,AS,China,CN,Shandong Province,CN-37,37,Yantai,1,ZSYT,YNT,,,,,,,,,,,,,,,,,,,,,,,
30679,ZBOW,medium_airport,Baotou Donghe Airport,40.560001,109.997002,3321,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,Baotou,1,ZBOW,BAV,,,,,,,,,,,,,,,,,,,,,,,
31658,ZSLQ,medium_airport,Taizhou Luqiao Airport,28.562201,121.429001,,AS,China,CN,Zhejiang Province,CN-33,33,Huangyan,1,ZSLQ,HYN,,,,,,,,,,,,,,,,,,,,,,,
27213,ZPJH,medium_airport,Xishuangbanna Gasa International Airport,21.974648,100.762224,1815,AS,China,CN,Yunnan Province,CN-53,53,Jinghong (Gasa),1,ZPJH,JHG,,,,,,,,,,,,,,,,,,,,,,,
27231,ZUXC,medium_airport,Xichang Qingshan Airport,27.9891,102.183998,5112,AS,China,CN,Sichuan Province,CN-51,51,Liangshan (Xichang),1,ZUXC,XIC,,,,,,,,,,,,,,,,,,,,,,,
31876,ZUNZ,medium_airport,Nyingchi Mainling Airport,29.303301,94.335297,9675,AS,China,CN,Tibet Autonomous Region,CN-54,54,Nyingchi (Mainling),1,ZUNZ,LZY,,,,,,,,,,,,,,,,,,,,,,,
31684,ZWCM,medium_airport,Qiemo Yudu Airport,38.234516,85.465462,,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Qiemo,1,ZWCM,IQM,,,,,,,,,,,,,,,,,,,,,,,
27191,ZBSJ,medium_airport,Shijiazhuang Zhengding International Airport,38.280701,114.696999,233,AS,China,CN,Hebei Province,CN-13,13,Shijiazhuang,1,ZBSJ,SJW,,,,,,,,,,,,,,,,,,,,,,,
27226,ZSWH,medium_airport,Weihai Dashuibo Airport,37.187099,122.228996,145,AS,China,CN,Shandong Province,CN-37,37,Weihai,1,ZSWH,WEH,,,,,,,,,,,,,,,,,,,,,,,
32400,ZGOW,medium_airport,Jieyang Chaoshan International Airport,23.552,116.5033,,AS,China,CN,Guangdong Province,CN-44,44,Jieyang (Rongcheng),1,ZGOW,SWA,,,,,,,,,,,,,,,,,,,,,,,
31870,ZHLY,medium_airport,Luoyang Beijiao Airport,34.7411,112.388,840,AS,China,CN,Henan Province,CN-41,41,Luoyang (Laocheng),1,ZHLY,LYA,,,,,,,,,,,,,,,,,,,,,,,
32048,CN-NTG,medium_airport,Nantong Xingdong International Airport,32.070801,120.975998,16,AS,China,CN,Jiangsu Province,CN-32,32,Nantong,1,ZSNT,NTG,,,,,,,,,,,,,,,,,,,,,,,
32697,ZHXF,medium_airport,Xiangyang Liuji Airport,32.152222,112.291666,234,AS,China,CN,Hubei Province,CN-42,42,Xiangyang (Xiangzhou),1,ZHXF,XFN,,,,,,,,,,,,,,,,,,,,,,,
35316,ZSYN,medium_airport,Yancheng Nanyang International Airport,33.425833,120.203056,,AS,China,CN,Jiangsu Province,CN-32,32,Yancheng,1,ZSYN,YNZ,,,,,,,,,,,,,,,,,,,,,,,
44169,CN-0091,medium_airport,Dongying Shengli Airport,37.50859833,118.788002,15,AS,China,CN,Shandong Province,CN-37,37,Dongying,0,ZSDY,DOY,,,,,,,,,,,,,,,,,,,,,,,
44225,CN-0147,medium_airport,Feidong Air Base,31.909401,117.658997,,AS,China,CN,Anhui Province,CN-34,34,Hefei,0,,,,,,,,,,,,,,,,,,,,,,,,,
35312,ZSLG,small_airport,Baitabu Air Base,34.571302,118.873143,,AS,China,CN,Jiangsu Province,CN-32,32,Lianyungang,0,,,,,,,,,,,,,,,,,,,,,,,,,
30958,ZGDY,small_airport,Zhangjiajie Hehua International Airport,29.1028,110.443001,692,AS,China,CN,Hunan Province,CN-43,43,Zhangjiajie (Yongding),1,ZGDY,DYG,,,,,,,,,,,,,,,,,,,,,,,
300455,ZBYC,small_airport,Yuncheng Zhangxiao Airport,35.116391,111.031389,1242,AS,China,CN,Shaanxi Province,CN-61,61,Yuncheng (Yanhu),1,ZBYC,YCU,,,,,,,,,,,,,,,,,,,,,,,
44178,CN-0100,small_airport,Qingdao Cangkou Air Base,36.158929,120.387832,,AS,China,CN,Shandong Province,CN-37,37,Qingdao,0,,,,,,,,,,,,,,,,,,,,,,,,,
30788,ZUBD,medium_airport,Qamdo Bangda Airport,30.55360031,97.10829926,14219,AS,China,CN,Tibet Autonomous Region,CN-54,54,Bangda,1,ZUBD,BPX,,,,,,,,,,,,,,,,,,,,,,,
30929,ZLDH,medium_airport,Dunhuang Mogao International Airport,40.161098,94.809196,,AS,China,CN,Gansu Province,CN-62,62,Dunhuang,1,ZLDH,DNH,,,,,,,,,,,,,,,,,,,,,,,
31576,ZYHE,medium_airport,Heihe Aihui Airport,50.171621,127.308884,1047,AS,China,CN,Heilongjiang Province,CN-23,23,Heihe,1,ZYHE,HEK,,,,,,,,,,,,,,,,,,,,,,,
27235,ZWTN,medium_airport,Hotan Airport,37.03850174,79.86489868,4672,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Hotan,1,ZWTN,HTN,,,,,,,,,,,,,,,,,,,,,,,
